2024-02-23 13:15:13,342 INFO logger has been initialized
2024-02-23 13:15:14,196 DEBUG Class Game=<class 'game.Game.Game'> initializing....
2024-02-23 13:15:14,198 DEBUG Class SceneHandler=<class 'game.SceneHandler.SceneHandler'> initializing....
2024-02-23 13:15:14,198 DEBUG Importing scenes...
2024-02-23 13:15:14,198 DEBUG Mapsdirectory: os.listdir(mapsDirectory)=['TestMaps']
2024-02-23 13:15:14,198 DEBUG Fetching maps from folder='TestMaps' 
 Current Map: mapModulePath='gamedata.Maps.TestMaps.TestMap1'
2024-02-23 13:15:14,203 DEBUG Creating properties for tile name='yellow'. 
2024-02-23 13:15:14,203 DEBUG Creating properties for tile name='blue'. 
2024-02-23 13:15:14,204 DEBUG Creating properties for tile name='black'. 
2024-02-23 13:15:14,204 DEBUG Creating properties for tile name='orange'. 
2024-02-23 13:15:14,204 DEBUG Creating properties for tile name='white'. 
2024-02-23 13:15:14,204 DEBUG Creating properties for tile name='purple'. 
2024-02-23 13:15:14,204 DEBUG Creating properties for tile name='green'. 
2024-02-23 13:15:14,205 DEBUG Creating properties for tile name='red'. 
2024-02-23 13:15:14,205 DEBUG Loading map module: mapModule=<module 'gamedata.Maps.TestMaps.TestMap1' from 'C:\\Users\\david\\Documents\\GitHub\\pygameRPG\\pygameRPG\\gamedata\\Maps\\TestMaps\\TestMap1.py'>
2024-02-23 13:15:14,205 DEBUG Class TileMap=<class 'game.utils.TileMap.TileMap'> initializing....
2024-02-23 13:15:14,205 DEBUG tile_map=(('N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'N'), ('Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y', 'Y'), ('B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B', 'B'), ('G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G'), ('W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W', 'W'), ('P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P'), ('O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O'), ('R', 'R', 'R', 'R', 'R', 'R', 'R', 'R', 'R', 'R', 'R', 'R', 'R', 'R', 'R', 'R', 'R', 'R', 'R', 'R', 'R', 'R', 'R', 'R', 'R', 'R', 'R', 'R', 'R', 'R'))
2024-02-23 13:15:14,205 DEBUG xvalue=0, yvalue=0, layerNumber=0
2024-02-23 13:15:14,205 DEBUG xvalue=1, yvalue=0, layerNumber=0
2024-02-23 13:15:14,205 DEBUG xvalue=2, yvalue=0, layerNumber=0
2024-02-23 13:15:14,205 DEBUG xvalue=3, yvalue=0, layerNumber=0
2024-02-23 13:15:14,205 DEBUG xvalue=4, yvalue=0, layerNumber=0
2024-02-23 13:15:14,205 DEBUG xvalue=5, yvalue=0, layerNumber=0
2024-02-23 13:15:14,205 DEBUG xvalue=6, yvalue=0, layerNumber=0
2024-02-23 13:15:14,205 DEBUG xvalue=7, yvalue=0, layerNumber=0
2024-02-23 13:15:14,205 DEBUG xvalue=8, yvalue=0, layerNumber=0
2024-02-23 13:15:14,205 DEBUG xvalue=9, yvalue=0, layerNumber=0
2024-02-23 13:15:14,205 DEBUG xvalue=10, yvalue=0, layerNumber=0
2024-02-23 13:15:14,205 DEBUG xvalue=11, yvalue=0, layerNumber=0
2024-02-23 13:15:14,205 DEBUG xvalue=12, yvalue=0, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=13, yvalue=0, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=14, yvalue=0, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=15, yvalue=0, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=16, yvalue=0, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=17, yvalue=0, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=18, yvalue=0, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=19, yvalue=0, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=20, yvalue=0, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=21, yvalue=0, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=22, yvalue=0, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=23, yvalue=0, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=24, yvalue=0, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=25, yvalue=0, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=26, yvalue=0, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=27, yvalue=0, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=28, yvalue=0, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=29, yvalue=0, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=0, yvalue=1, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=1, yvalue=1, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=2, yvalue=1, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=3, yvalue=1, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=4, yvalue=1, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=5, yvalue=1, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=6, yvalue=1, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=7, yvalue=1, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=8, yvalue=1, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=9, yvalue=1, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=10, yvalue=1, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=11, yvalue=1, layerNumber=0
2024-02-23 13:15:14,207 DEBUG xvalue=12, yvalue=1, layerNumber=0
